x,nqx
0,0.187126
1,0.146789
2,0.109027
3,0.0845714
4,0.0686988
5,0.0575459
6,0.05026
7,0.044687
8,0.0408321
9,0.0382651
10,0.0365565
11,0.0361311
12,0.0361392
13,0.036577
14,0.0365812
15,0.037019
16,0.0383147
17,0.0404687
18,0.0417605
19,0.0430562
20,0.0443519
21,0.0460768
22,0.0477978
23,0.0520969
24,0.0576827
25,0.0662754
26,0.0718608
27,0.0778758
28,0.0826037
29,0.0864741
30,0.0890573
31,0.0899243
32,0.0916491
33,0.0916534
34,0.0912323
35,0.0895237
36,0.0890988
37,0.088249
38,0.0899738
39,0.0947017
40,0.101145
41,0.117032
42,0.141931
43,0.175415
44,0.217483
45,0.263842
